PM10,SO2,CO,NO2,HKIsonuc
25.91,1.59,281.19,31.74,0
22.12,1.88,259.56,26.67,0
29.98,2.48,328.7,38.12,1
22.42,2.04,213.84,22.33,0
13.84,1.83,243.4,16.52,0
15.36,1.33,179.59,19.31,0
18.14,1.36,136.52,32.53,0
30.79,0.94,216.18,43.04,1
26.69,1.56,118.64,25.04,0
26.7,0.84,257.6,35.51,0
28.9,1.37,266.18,32.39,0
19.19,0.86,203.81,23.24,0
31.67,2.09,200.4,44.98,1
21.66,1.53,227.01,34.89,0
24.56,2.07,365.93,39.23,0
21.22,1.48,279.77,25.9,0
9.5,1.95,210.77,27.59,0
15.07,1.69,209.01,32.31,0
24.64,2.33,331.02,39.25,0
18.18,1.51,211.52,17.89,0
11.82,1.06,244.03,34.03,0
19.26,1.45,311.61,42.45,0
10.25,1.0,245.35,31.74,0
17.72,1.3,320.86,32.28,0
26.54,1.24,270.98,24.79,0
22.9,1.11,249.83,20.41,0
27.29,1.19,303.14,23.71,0
37.52,3.21,230.78,25.78,1
99,1.44,180.47,28.38,0
21.45,1.2,158.92,25.84,0
20.59,1.7,303.24,33.33,0
27.4,2.04,325.97,45.64,1
28.46,2.11,308.72,35.02,0
35.84,1.98,315.8,51.11,1
48.67,4.48,234.59,30.97,1
34.61,2.0,245.85,35.33,1
35.02,2.3,259.45,34.7,1
27.22,2.0,278.09,33.45,0
21.1,2.38,229.89,31.06,0
27.02,5.19,201.9,26.39,0
11.16,2.22,183.59,20.83,0
15.06,2.54,120.76,25.17,0
18.73,2.36,96.19,24.1,0
17.61,2.1,212.37,35.41,0
29.91,2.37,275.42,50.61,1
22.79,1.77,184.75,23.12,0
22.13,2.5,106.23,13.03,0
16.83,2.93,56.17,13.36,0
10.86,1.94,111.65,21.55,0
29.75,2.79,296.78,43.56,1
43.71,2.89,193.42,32.81,1
25.27,2.4,159.42,27.76,0
29.44,1.82,240.32,29.86,0
14.43,2.86,138.43,16.77,0
16.68,1.83,215.42,22.08,0
15.76,1.72,176.25,23.36,0
22.97,1.71,310.91,35.74,0
22.0,1.98,270.49,31.17,0
35.99,2.15,369.72,44.22,1
37.07,2.34,240.4,32.24,1
36.08,1.71,306.39,32.15,1
31.16,2.04,182.03,23.94,0
20.29,2.18,119.35,28.0,0
22.19,2.68,172.71,26.68,0
26.79,2.59,161.11,33.33,0
29.07,2.42,155.84,28.92,0
25.99,2.07,188.43,32.16,0
31.51,1.66,349.92,33.49,1
34.19,2.12,339.79,48.92,1
33.39,1.93,382.51,40.15,1
31.74,1.47,344.07,35.99,1
29.36,1.55,348.36,41.2,1
41.99,1.6,469.05,61.77,1
23.9,0.67,351.4,28.01,0
24.17,1.21,363.67,27.53,0
30.37,1.36,364.51,46.6,1
25.16,1.62,309.72,37.89,0
25.34,1.49,319.9,39.7,0
26.93,1.86,338.99,37.81,0
26.81,0.75,337.89,29.03,0
21.96,0.75,308.55,21.29,0
22.93,1.54,197.95,18.83,0
40.57,1.57,369.56,34.73,1
35.55,1.77,315.66,38.24,1
46.61,2.54,475.34,63.9,1
46.45,3.03,579.23,82.72,1
51.69,3.56,448.91,46.74,1
10.98,0.89,160.2,20.54,0
19.19,2.06,572.01,31.36,0
40.67,1.75,549.73,61.17,1
49.26,2.71,465.42,62.34,1
46.88,2.76,502.78,57.64,1
42.93,3.49,682.97,70.15,1
38.74,5.23,408.03,53.6,1
22.28,1.78,342.53,50.46,1
28.22,1.99,492.45,56.37,1
48.85,3.92,628.29,79.61,1
53.06,5.04,669.05,89.47,2
46.34,2.48,707.49,77.92,1
52.49,5.63,524.42,68.36,1
47.74,3.42,498.8,59.77,1
65.03,1.73,394.66,33.54,1
23.14,2.49,278.29,26.29,0
19.46,1.8,485.3,50.16,0
36.52,2.0,502.8,52.89,1
23.72,2.9720952380952386,539.02,56.18,1
45.04,4.35,795.9,65.62,1
29.11,8.41,389.0,51.65,1
38.43,3.07,498.29,48.44,1
46.04,3.29,708.91,63.94,1
52.45,2.83,891.99,93.17,2
80.78,4.11,960.73,110.28,2
70.42,3.83,687.24,72.78,2
59.66,2.2,636.46,75.83,2
38.98,2.01,582.89,78.52,1
37.94,4.7,622.68,72.27,1
47.36,3.15,800.6,65.59,1
37.77,2.05,608.89,54.93,1
28.75,1.75,414.53,39.43,1
28.09,1.85,424.01,42.7,1
37.78,2.96,615.31,65.68,1
45.67,3.56,894.11,89.97,0
48.0,3.01,808.17,68.59,1
29.31,1.74,604.71,43.04,1
49.31,2.88,841.39,76.15,1
48.93,4.87,648.75,68.29,1
56.35,5.19,817.89,87.82,2
75.02,5.37,1048.23,87.12,2
36.89,6.82,511.62,60.04,1
11.81,2.66,300.42,44.65,0
25.81,1.32,448.35,54.22,1
